"codpago";"descripcion";"domiciliado";"pagado";"clavesat"
"1";"Efectivo";"0";"1";"01"
"2";"Cheque nominativo";"1";"1";"02"
"3";"Transferencia electrónica de fondos";"1";"1";"03"
"4";"Tarjeta de crédito";"1";"1";"04"
"5";"Monedero electrónico";"1";"1";"05"
"6";"Dinero electrónico";"1";"1";"06"
"7";"Vales de despensa";"0";"1";"08"
"8";"Dación en pago";"0";"1";"12"
"9";"Pago por subrogación";"0";"1";"13"
"10";"Pago por consignación";"0";"1";"14"
"11";"Condonación";"0";"1";"15"
"12";"Compensación";"0";"1";"17"
"13";"Novación";"0";"1";"23"
"14";"Confusión";"0";"1";"24"
"15";"Remisión de deuda";"0";"1";"25"
"16";"Prescripción o caducidad";"0";"1";"26"
"17";"A satisfacción del acreedor";"0";"1";"27"
"18";"Tarjeta de débito";"1";"1";"28"
"19";"Tarjeta de servicios";"1";"1";"29"
"20";"Aplicación de anticipos";"0";"0";"30"
"21";"Intermediario pagos";"0";"0";"31"
"22";"Por definir";"0";"0";"99"
