"codimpuesto";"descripcion";"iva";"recargo";"clavesat"
"IVA0";"IVA 0%";"0";"0";"002"
"IVA16";"IVA 16%";"16";"0";"002"
"IVA8";"IVA Crédito aplicado del 50%";"8";"0";"002"
"IEPS265";"IEPS 26.5%";"26.5";"0";"003"
"IEPS30";"IEPS 30%";"30";"0";"003"
"IEPS53";"IEPS 53%";"53";"0";"003"
"IEPS50";"IEPS 50%";"50";"0";"003"
"IEPS160";"IEPS 160%";"160";"0";"003"
"IEPS304";"IEPS 30.4%";"30.4";"0";"003"
"IEPS25";"IEPS 25%";"25";"0";"003"
"IEPS9";"IEPS 9%";"9";"0";"003"
"IEPS8";"IEPS 8%";"8";"0";"003"
"IEPS7";"IEPS 7%";"7";"0";"003"
"IEPS6";"IEPS 6%";"6";"0";"003"
"IEPS3";"IEPS 3%";"3";"0";"003"
"IEPS0";"IEPS 0%";"0";"0";"003"
